,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3186833943,,4,6,-37.7992369,145.0042506,-37.7907967,144.985865,3009.0,2018-06-16,06:30:12,861.8399999999999,6:44:33,12.45
ID1425105903,0.0,3,5,-37.8187564,144.9832053,-37.8099614,144.9360533,4916.0,2018-04-01,21:11:01,1156.32,21:30:17,17.09
ID5440332946,2.0,4,1,-37.8005538,144.9911639,-37.8138381,144.9368164,6139.0,2018-05-11,09:10:58,1541.1000000000001,9:36:39,130.62
ID5234030900,2.0,5,8,-37.801566,144.9386085,-37.8158343,145.04645,11323.0,2018-07-20,10:29:19,3195.3600000000006,11:22:34,255.68
ID1442572064,,6,3,-37.773845,144.9836895,-37.8142531,144.9728029,4974.0,2018-02-15,07:41:52,1024.2,7:58:56,4.3
ID3756263614,1.0,3,5,-37.8276762,144.984998,-37.807841,144.938431,5384.0,2018-05-26,00:01:54,1507.0200000000002,0:27:01,25.62
ID1734976115,0.0,1,4,-37.8119606,144.9594735,-37.810693,145.0110926,5165.0,2018-07-16,23:45:28,1285.0799999999995,0:06:53,14.1
ID3864302324,1.0,5,9,-37.8083333,144.9351746,-38.1109156,144.6541725,43002.0,2018-06-03,21:03:59,10294.859999999999,23:55:33,64.94
ID1369779076,0.0,2,3,-37.8242743,144.94398,-37.8176308,144.9811833,3698.0,2018-02-25,11:12:01,855.2400000000004,11:26:16,8.47
ID3352522777,1.0,3,2,-37.8134711,144.9737343,-37.8134275,144.9410974,3443.0,2018-01-15,18:16:30,866.5199999999998,18:30:56,14.26
ID3111133839,,7,4,-37.8618349,144.905716,-37.8065711,144.998273,11286.0,2018-02-06,14:46:42,3652.7399999999975,15:47:34,27.05
ID1455900010,0.0,6,9,-37.7738026,144.9836466,-38.1109156,144.6541725,51061.0,2018-05-03,06:33:08,12976.499999999996,10:09:24,20.29
ID1301531385,0.0,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-01-28,09:37:00,12681.060000000005,13:08:21,22.15
ID3579653038,,1,6,-37.8189832,144.952603,-37.7874325,144.9803767,5058.0,2018-01-25,05:30:15,1233.66,5:50:48,20.72
ID1239162751,0.0,3,6,-37.8215051,144.9692796,-37.7908183,144.9857929,4414.0,2018-07-26,18:09:56,1135.0200000000002,18:28:51,10.68
ID1345128288,0.0,3,7,-37.8243677,144.9924436,-37.8618349,144.905716,9638.0,2018-05-16,20:59:21,3143.1,21:51:44,11.65
ID3575341100,1.0,6,5,-37.7874325,144.9803767,-37.8050314,144.9279056,6656.0,2018-03-01,00:43:49,1830.5399999999995,1:14:19,24.2
ID1354291572,0.0,4,5,-37.8097448,144.9931259,-37.8017179,144.917208,6924.0,2018-07-28,11:49:02,1715.4599999999996,12:17:37,8.88
ID3340681514,1.0,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-07-27,04:02:09,12681.059999999998,7:33:30,72.7
ID5856299428,2.0,4,7,-37.8101377,144.9965834,-37.8618349,144.905716,10736.0,2018-06-11,20:06:58,3558.42,21:06:16,296.97
ID3602390837,1.0,9,5,-38.1109156,144.6541725,-37.8052239,144.9313361,43708.0,2018-07-25,19:59:16,10474.56,22:53:50,57.83
ID5905519255,2.0,4,7,-37.8025227,145.0050195,-37.8618349,144.905716,12190.0,2018-07-03,00:29:07,3881.9400000000014,1:33:48,332.24
ID5493057095,2.0,3,7,-37.8121119,144.9778596,-37.8618349,144.905716,8967.0,2018-01-11,14:35:52,3060.96,15:26:52,257.95
ID5795108265,2.0,8,3,-37.8158343,145.04645,-37.8145317,144.9711395,7110.0,2018-06-12,21:35:00,2090.6400000000003,22:09:50,192.56
ID3503425686,1.0,6,3,-37.7907967,144.985865,-37.8229843,144.9889836,4000.0,2018-01-21,12:52:40,1134.4199999999998,13:11:34,17.79
ID3657293140,,6,4,-37.7874421,144.9804091,-37.8115895,145.0063903,4854.0,2018-01-06,11:02:39,1257.2399999999996,11:23:36,14.0
ID1389639632,0.0,7,2,-37.8618349,144.905716,-37.8133627,144.9416517,9965.0,2018-03-02,06:11:41,3293.6399999999985,7:06:34,8.32
ID3583230669,1.0,2,4,-37.8142938,144.9389889,-37.8112323,145.0034029,6203.0,2018-07-21,06:43:18,1551.96,7:09:09,14.58
ID1715165691,0.0,1,9,-37.8132459,144.9514796,-38.1109156,144.6541725,42485.0,2018-01-26,13:51:32,10267.019999999999,16:42:39,22.18
ID3695042084,1.0,7,2,-37.8618349,144.905716,-37.810778,144.9391446,10243.0,2018-06-18,16:02:02,3353.159999999998,16:57:55,25.83
ID1480981909,0.0,8,6,-37.807202,145.0266373,-37.7874421,144.9804091,5789.0,2018-05-25,01:09:33,1492.6800000000003,1:34:25,14.89
ID3837318743,1.0,1,7,-37.812398,144.9540538,-37.8618349,144.905716,8848.0,2018-05-15,20:56:26,3028.62,21:46:54,21.39
ID3906417417,1.0,7,3,-37.8618349,144.905716,-37.8222965,144.9679305,7840.0,2018-07-19,16:33:07,2735.2799999999993,17:18:42,21.03
ID3394647197,,1,4,-37.8202504,144.9708068,-37.8111528,144.9975025,3454.0,2018-04-06,06:20:21,948.1800000000004,6:36:09,8.46
ID1718100400,,8,1,-37.807202,145.0266373,-37.8121555,144.966445,6136.0,2018-06-23,05:43:07,1548.7200000000003,6:08:55,18.79
ID1866042181,0.0,2,9,-37.8146922,144.9375458,-38.1109156,144.6541725,42622.0,2018-06-01,03:11:50,10226.16,6:02:16,24.64
ID1659160148,,5,7,-37.8062874,144.9328554,-37.8618349,144.905716,10997.0,2018-05-08,00:47:19,3512.94,1:45:51,17.53
ID3201680371,1.0,4,2,-37.8093318,145.0097176,-37.821547,144.9450864,6531.0,2018-01-21,13:09:43,1675.4400000000012,13:37:38,22.49
ID1413741748,,1,2,-37.8070286,144.9590202,-37.8177655,144.9469248,2036.0,2018-02-21,10:40:30,530.2800000000001,10:49:20,4.33
ID3655971756,1.0,3,4,-37.8153813,144.9909646,-37.8053366,144.9959967,1512.0,2018-07-22,09:50:06,340.62,9:55:46,9.5
ID3247897829,1.0,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-05-19,04:37:40,13204.979999999994,8:17:44,79.39
ID1834478602,,4,2,-37.8115151,145.0059353,-37.8118571,144.9361346,7006.0,2018-03-24,04:59:49,1781.0399999999986,5:29:30,19.78
ID1498789391,0.0,3,4,-37.8218911,144.9917074,-37.811512,145.0098666,2614.0,2018-05-09,19:09:34,625.2,19:19:59,8.05
ID1150419752,,4,8,-37.8053194,145.0150414,-37.807202,145.0266373,2380.0,2018-01-20,09:18:58,568.26,9:28:26,8.09
ID1177284868,,9,1,-38.1109156,144.6541725,-37.8060344,144.9572209,43600.0,2018-02-07,22:55:01,10526.76,1:50:27,26.17
ID3245930015,1.0,5,7,-37.8067555,144.9324706,-37.8618349,144.905716,10996.0,2018-02-15,11:55:45,3514.5000000000005,12:54:19,19.76
ID1363383064,0.0,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-05-27,02:12:00,4917.479999999999,3:33:57,21.96
ID1209113443,0.0,3,5,-37.8195309,145.0045238,-37.7998828,144.9272705,8042.0,2018-05-20,14:12:33,1916.8200000000008,14:44:29,11.93
ID3433527641,,9,2,-38.1109156,144.6541725,-37.8160079,144.9460463,41834.0,2018-01-28,02:18:14,10083.3,5:06:17,63.62
ID5332071794,,6,5,-37.773845,144.9836895,-37.8153371,144.9279699,8906.0,2018-07-20,05:37:28,2005.9800000000012,6:10:53,185.49
ID1908908537,0.0,6,2,-37.7874421,144.9804091,-37.814791,144.9342856,6230.0,2018-02-02,04:16:26,1562.0399999999995,4:42:28,13.66
ID3161744591,1.0,9,2,-38.1109156,144.6541725,-37.8244158,144.9444822,42398.0,2018-02-09,17:05:17,10207.919999999998,19:55:24,54.44
ID3497281491,,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-04-05,04:36:40,13204.979999999994,8:16:44,77.73
ID1209172824,,3,4,-37.819053,145.0037757,-37.8029669,144.9971376,2354.0,2018-07-15,05:17:46,574.08,5:27:20,18.61
ID3665826538,1.0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-06-13,00:34:53,13173.359999999999,4:14:26,73.77
ID1664694651,0.0,1,3,-37.8221915,144.9476644,-37.8185588,144.9681662,1971.0,2018-03-15,12:45:27,501.3599999999999,12:53:48,8.76
ID3320544761,1.0,1,8,-37.8131382,144.9738508,-37.8158343,145.04645,6835.0,2018-01-12,11:49:41,2026.9199999999998,12:23:27,13.51
ID1403805859,0.0,8,1,-37.8158343,145.04645,-37.8069943,144.9433669,9474.0,2018-07-11,11:37:29,2680.739999999999,12:22:09,
ID5869332790,2.0,2,6,-37.8163952,144.9381699,-37.7907967,144.985865,6128.0,2018-01-03,04:52:45,1716.5400000000006,5:21:21,165.45
ID3359217726,1.0,6,3,-37.7738026,144.9836466,-37.8102123,144.9807122,7905.0,2018-03-24,15:53:25,2495.2199999999993,16:35:00,23.38
ID3250904862,1.0,9,4,-38.1109156,144.6541725,-37.8098082,144.9930308,46287.0,2018-05-25,19:03:45,11091.060000000005,22:08:36,59.68
ID3216477069,1.0,3,4,-37.8155963,144.9740679,-37.8149753,145.0045748,3046.0,2018-01-25,13:42:38,762.9000000000001,13:55:20,13.22
ID5740833481,2.0,9,3,-38.1109156,144.6541725,-37.8192599,145.0065211,47360.0,2018-03-18,20:46:34,11512.919999999991,23:58:26,
ID3248265622,1.0,5,6,-37.8048602,144.932999,-37.7738026,144.9836466,10091.0,2018-05-16,08:08:39,3063.7200000000003,8:59:42,19.49
ID1890455120,0.0,6,1,-37.7907967,144.985865,-37.8056421,144.9712407,2775.0,2018-06-17,19:35:10,779.3999999999996,19:48:09,
ID1297633015,0.0,8,3,-37.8158343,145.04645,-37.8179401,144.9692968,7631.0,2018-01-03,18:52:25,2227.14,19:29:32,10.0
ID3538948306,1.0,3,1,-37.8250104,144.9847345,-37.8196811,144.9711506,1962.0,2018-01-17,23:07:35,522.36,23:16:17,17.22
ID1584684653,0.0,5,3,-37.8124052,144.9316335,-37.8137727,144.9907207,6623.0,2018-01-09,20:09:32,1632.9,20:36:44,11.61
ID1273490209,0.0,6,9,-37.7874325,144.9803767,-38.1109156,144.6541725,47033.0,2018-07-12,03:10:32,11350.5,6:19:42,
ID1284898706,0.0,9,5,-38.1109156,144.6541725,-37.8063815,144.937708,43280.0,2018-06-02,07:03:11,10385.099999999997,9:56:16,
ID1363677318,0.0,1,7,-37.8153503,144.9708117,-37.8618349,144.905716,8216.0,2018-06-09,15:24:43,2840.7599999999998,16:12:03,14.91
ID1958411400,0.0,9,3,-38.1109156,144.6541725,-37.8252508,144.9846997,45718.0,2018-06-12,03:49:07,11046.720000000003,6:53:13,27.3
ID5219510603,2.0,4,8,-37.8105832,145.0094926,-37.8158343,145.04645,3870.0,2018-07-20,21:11:29,1260.24,21:32:29,
ID3581565121,1.0,6,7,-37.773845,144.9836895,-37.8618349,144.905716,13169.0,2018-06-16,18:00:18,3866.460000000001,19:04:44,
ID5513738719,2.0,3,1,-37.8128818,145.0025987,-37.8146997,144.9507609,4850.0,2018-06-18,17:16:58,1201.7399999999996,17:36:59,114.92
ID1718393921,0.0,1,8,-37.8027797,144.9560465,-37.8158343,145.04645,8326.0,2018-01-14,06:54:40,2311.98,7:33:11,
ID1261123879,0.0,7,3,-37.8618349,144.905716,-37.8173524,144.9878848,9488.0,2018-03-18,02:43:38,3098.5199999999995,3:35:16,
ID1668037602,0.0,8,5,-37.8158343,145.04645,-37.8107157,144.9261449,11152.0,2018-03-13,21:47:05,3130.4999999999977,22:39:15,
ID3424188943,1.0,1,7,-37.8132911,144.9583563,-37.8618349,144.905716,8520.0,2018-05-02,23:39:31,2920.98,0:28:11,29.72
ID1979180567,0.0,5,8,-37.8090182,144.9022367,-37.8158343,145.04645,15324.0,2018-05-04,17:09:14,4108.98,18:17:42,13.17
ID3539654408,1.0,6,7,-37.7907967,144.985865,-37.8618349,144.905716,11711.0,2018-03-11,03:31:33,3866.9400000000014,4:35:59,
ID3702505994,1.0,5,4,-37.8048457,144.9280557,-37.802809,145.004725,7530.0,2018-02-07,09:02:48,1923.0600000000002,9:34:51,12.96
ID3337837139,1.0,1,5,-37.8062082,144.9584161,-37.8080849,144.9292147,3411.0,2018-06-23,03:34:38,898.3800000000003,3:49:36,24.18
ID3171896133,1.0,8,3,-37.807202,145.0266373,-37.8136748,144.9818194,4934.0,2018-02-25,11:21:22,1200.7199999999998,11:41:22,
ID3768805260,1.0,4,3,-37.8013216,145.0010984,-37.8289044,144.9866979,5334.0,2018-02-01,16:59:47,1286.6999999999998,17:21:13,17.48
ID3625400105,1.0,6,4,-37.773845,144.9836895,-37.8157795,145.0142112,8719.0,2018-06-04,09:56:35,1995.3000000000009,10:29:50,14.72
ID3430126545,1.0,6,9,-37.7874421,144.9804091,-38.1109156,144.6541725,47035.0,2018-05-28,19:56:50,11407.859999999999,23:06:57,59.89
ID1963560872,0.0,5,4,-37.8065946,144.9322622,-37.8108106,145.0029727,6514.0,2018-07-08,16:42:10,1652.52,17:09:42,14.7
ID1769818542,0.0,3,2,-37.8190024,144.9769484,-37.8093489,144.9369713,4381.0,2018-05-27,22:51:25,1032.4199999999998,23:08:37,18.26
ID3958333505,1.0,6,9,-37.7874325,144.9803767,-38.1109156,144.6541725,47033.0,2018-02-01,12:15:20,11350.5,15:24:30,63.2
ID5943850922,2.0,5,7,-37.8000624,144.935244,-37.8618349,144.905716,13645.0,2018-07-20,04:21:41,4269.060000000001,5:32:50,
ID3881751584,1.0,7,1,-37.8618349,144.905716,-37.8144465,144.9619518,8136.0,2018-05-11,04:02:45,2812.7999999999997,4:49:37,
ID1185811086,0.0,9,5,-38.1109156,144.6541725,-37.8002592,144.9354195,46065.0,2018-04-04,03:55:22,11070.54,6:59:52,27.25
ID3898565282,1.0,6,7,-37.773845,144.9836895,-37.8618349,144.905716,13169.0,2018-01-16,08:59:13,3866.460000000001,10:03:39,20.97
ID3463678832,1.0,6,5,-37.7738026,144.9836466,-37.8097826,144.935871,10021.0,2018-07-10,04:21:54,3023.5199999999986,5:12:17,
ID5361560515,2.0,3,9,-37.8186844,144.9838021,-38.1109156,144.6541725,45398.0,2018-03-26,09:35:57,10918.859999999999,12:37:55,854.36
ID3649374631,1.0,4,3,-37.8089249,145.0088358,-37.8177896,144.9688707,4671.0,2018-07-05,13:11:04,1167.2400000000007,13:30:31,
ID3181039589,1.0,6,9,-37.7874421,144.9804091,-38.1109156,144.6541725,47035.0,2018-04-21,00:14:16,11407.859999999999,3:24:23,
ID1145953283,0.0,1,9,-37.8141181,144.9413845,-38.1109156,144.6541725,42225.0,2018-06-25,12:06:20,10113.179999999998,14:54:53,19.24
ID5228418349,2.0,2,8,-37.8197578,144.944234,-37.8158343,145.04645,9622.0,2018-04-09,04:00:14,2639.8199999999997,4:44:13,
ID3406455791,1.0,8,1,-37.807202,145.0266373,-37.8052379,144.9523212,7144.0,2018-02-13,17:51:20,1843.08,18:22:03,
ID3844217097,1.0,9,5,-38.1109156,144.6541725,-37.8013511,144.9361111,45079.0,2018-02-11,06:33:10,10799.279999999999,9:33:09,54.57
ID5926694185,2.0,6,4,-37.7874325,144.9803767,-37.810354,145.0100563,5067.0,2018-04-20,03:12:56,1315.6200000000001,3:34:51,132.62
ID1186121064,0.0,5,3,-37.8136538,144.9306027,-37.8101569,144.9888213,6281.0,2018-06-27,09:28:09,1571.5800000000002,9:54:20,4.44
ID1990646349,0.0,4,5,-37.8144505,145.0149258,-37.803488,144.9364684,8758.0,2018-01-21,09:16:35,2151.0,9:52:26,9.78
ID1549842748,0.0,3,1,-37.8246282,144.9893415,-37.8161757,144.9452946,4624.0,2018-02-10,15:24:50,1172.9400000000007,15:44:22,15.22
ID1299978596,0.0,5,9,-37.805029,144.9312301,-38.1109156,144.6541725,44267.0,2018-05-02,07:31:43,10621.32,10:28:44,
ID1652187384,0.0,4,2,-37.7997219,145.0186542,-37.8251853,144.9512525,7648.0,2018-01-08,02:29:56,2038.0800000000013,3:03:54,15.41
ID3802736459,1.0,8,3,-37.807202,145.0266373,-37.8187269,145.001466,3579.0,2018-05-04,22:41:26,851.6400000000004,22:55:37,19.75
ID1645327016,0.0,3,5,-37.8245142,144.9827184,-37.8052848,144.9400014,5205.0,2018-07-23,04:50:25,1185.8400000000001,5:10:10,13.56
ID1428130138,0.0,6,3,-37.7738026,144.9836466,-37.8157301,144.9791528,8255.0,2018-07-02,17:06:20,2574.6599999999994,17:49:14,12.8
ID5770391436,2.0,7,6,-37.8618349,144.905716,-37.7738026,144.9836466,16033.0,2018-05-16,03:55:09,5320.6799999999985,5:23:49,441.64
ID3186852024,1.0,2,4,-37.814917,144.9452473,-37.8082815,145.0096353,6240.0,2018-03-22,08:56:19,1585.3200000000006,9:22:44,12.62
ID3852518873,1.0,5,8,-37.8098596,144.9289357,-37.8158343,145.04645,10796.0,2018-06-23,04:32:56,3032.7,5:23:28,31.49
ID3654378592,1.0,6,3,-37.773845,144.9836895,-37.8120741,144.9744185,4771.0,2018-03-25,02:11:01,980.9999999999998,2:27:22,23.27
