,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3381194133,1,8,6,-37.807202,145.0266373,-37.7874325,144.9803767,5793.0,2018-02-19,12:13:12,1493.5200000000002,12:38:05,16.64
ID3538036418,1,3,7,-37.8145518,145.0046441,-37.8618349,144.905716,11375.0,2018-03-09,22:16:58,3595.8000000000006,23:16:53,32.87
ID1896203688,0,7,5,-37.8158343,145.04645,-37.805207,144.9328891,10270.0,2018-02-06,23:30:04,2913.479999999998,0:18:37,17.48
ID3988655351,1,8,1,-37.8158343,145.04645,-37.8111271,144.9583094,7911.0,2018-03-09,22:39:54,2254.9199999999996,23:17:28,26.77
ID5704192098,2,2,6,-37.8010839,144.9530168,-37.7874325,144.9803767,3865.0,2018-03-08,16:53:25,975.7800000000004,17:09:40,77.25
ID1790617650,0,8,4,-37.807202,145.0266373,-37.8104531,145.0037593,2686.0,2018-06-16,00:42:30,658.1400000000001,0:53:28,15.49
ID3260941370,1,7,7,-37.8244988,144.9526951,-37.8618349,144.905716,8331.0,2018-04-25,17:12:12,2938.74,18:01:10,25.01
ID5746158786,2,1,2,-38.1109156,144.6541725,-37.820935,144.9433761,41593.0,2018-06-17,18:05:47,9976.139999999996,20:52:03,607.56
ID3528171040,1,4,6,-37.8021759,145.0079513,-37.7874421,144.9804091,4032.0,2018-03-28,13:16:21,1037.5800000000002,13:33:38,14.77
ID1430901507,0,2,6,-37.8255311,144.9516784,-37.7908183,144.9857929,5850.0,2018-02-11,10:24:46,1501.0800000000004,10:49:47,11.36
ID1141474310,0,8,2,-37.8158343,145.04645,-37.8190226,144.9467782,9379.0,2018-05-12,02:04:08,2589.540000000001,2:47:17,19.51
ID1134950130,0,7,1,-37.8618349,144.905716,-37.8121733,144.938044,10348.0,2018-02-26,07:57:25,3384.6599999999985,8:53:49,10.08
ID1441431189,0,6,7,-37.7738026,144.9836466,-37.8618349,144.905716,16033.0,2018-02-02,22:07:15,5323.559999999998,23:35:58,19.15
ID3247452315,1,2,4,-37.8201966,144.9462139,-37.8158563,145.0132322,6571.0,2018-04-03,22:39:02,1608.1800000000012,23:05:50,24.53
ID1270612522,0,8,4,-37.8158343,145.04645,-37.8078416,145.0132089,3948.0,2018-02-07,14:02:21,1278.36,14:23:39,7.18
ID3572235045,1,3,7,-37.8241038,144.9905894,-37.8618349,144.905716,9600.0,2018-04-03,09:23:14,3123.24,10:15:17,19.32
ID5894597085,2,3,6,-37.8188668,144.9979072,-37.7907967,144.985865,4290.0,2018-04-15,00:53:25,1166.52,1:12:51,104.83
ID1744888482,0,2,6,-37.8163392,144.9287765,-37.7874325,144.9803767,7616.0,2018-04-07,15:52:59,1917.840000000001,16:24:56,12.99
ID3268000135,1,5,9,-37.8050581,144.9343681,-38.1109156,144.6541725,43364.0,2018-05-25,19:11:57,10362.48,22:04:39,60.34
ID5425025426,2,1,7,-37.8148091,144.9539615,-37.8618349,144.905716,8678.0,2018-03-23,00:44:22,2988.42,1:34:10,200.18
ID3547189629,1,8,8,-37.8102184,145.009017,-37.807202,145.0266373,2535.0,2018-03-05,00:21:15,601.26,0:31:16,19.27
ID1685869638,0,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-05-08,16:33:30,4917.479999999999,17:55:27,17.16
ID5838855843,2,4,5,-37.8044379,144.9935677,-37.8149732,144.9273875,7593.0,2018-07-19,04:34:12,1931.640000000002,5:06:23,140.14
ID5511498867,2,1,1,-37.8097398,144.9639217,-37.8077748,144.9332945,3352.0,2018-02-20,02:40:01,882.8400000000003,2:54:43,80.81
ID1749601085,0,2,8,-37.8132674,144.9436981,-37.8158343,145.04645,9346.0,2018-06-08,15:50:12,2617.1400000000003,16:33:49,11.06
ID1448666176,0,9,5,-38.1109156,144.6541725,-37.8089442,144.9257734,43720.0,2018-06-17,02:14:20,10454.519999999997,5:08:34,34.0
ID3513123408,1,6,8,-37.7907967,144.985865,-37.8158343,145.04645,7470.0,2018-01-19,06:53:03,2302.38,7:31:25,15.88
ID3315624416,1,6,4,-37.7874325,144.9803767,-37.8116002,144.9426555,6656.0,2018-04-10,02:45:14,1582.1999999999998,3:11:36,24.56
ID3284493563,1,7,5,-37.8618349,144.905716,-37.8065701,144.9309837,11044.0,2018-02-11,19:59:30,3530.1599999999994,20:58:20,31.4
ID3481539070,1,1,5,-37.8178951,144.9706741,-37.80184,144.9287179,4865.0,2018-03-01,19:57:14,1269.84,20:18:23,15.64
ID5490072720,2,3,8,-37.8170884,144.9851417,-38.1109156,144.6541725,45432.0,2018-03-07,20:37:15,10979.519999999999,23:40:14,656.8
ID3505757574,1,4,8,-37.8094529,145.016066,-37.807202,145.0266373,1529.0,2018-01-17,02:48:28,362.22,2:54:30,16.36
ID1573144696,0,8,5,-37.807202,145.0266373,-37.8129005,144.9298785,10052.0,2018-02-25,11:32:43,2547.4799999999987,12:15:10,10.2
ID1361093020,0,5,7,-37.8080056,144.936268,-37.8618349,144.905716,10570.0,2018-06-10,07:26:22,3444.7200000000003,8:23:46,12.09
ID3736254106,1,9,2,-38.1109156,144.6541725,-37.8081468,144.9342466,43081.0,2018-04-16,01:42:34,10317.719999999996,4:34:31,64.08
ID1400024024,0,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-05-06,14:05:11,12681.060000000005,17:36:32,32.52
ID3472295987,1,6,9,-37.7738026,144.9836466,-38.1109156,144.6541725,51061.0,2018-05-17,05:25:32,12976.499999999996,9:01:48,77.01
ID3482657643,1,4,1,-37.8080174,144.9955836,-37.8020328,144.9446325,4727.0,2018-03-19,11:01:58,1153.6200000000006,11:21:11,10.98
ID1401132773,0,3,1,-37.8220125,144.9694765,-37.8248322,144.9494179,2187.0,2018-04-25,10:01:34,589.9200000000002,10:11:23,4.22
ID3431173413,1,8,4,-37.807202,145.0266373,-37.816799,145.0096011,2776.0,2018-01-11,12:50:44,642.5400000000002,13:01:26,10.75
ID1671369240,0,1,5,-37.8077755,144.9658913,-37.8111596,144.9295583,4315.0,2018-07-11,09:01:36,1091.2800000000004,9:19:47,5.35
ID3790250560,1,2,9,-37.8216558,144.9350325,-38.1109156,144.6541725,43317.0,2018-05-18,13:00:32,10413.839999999998,15:54:05,60.66
ID3371925618,1,6,1,-37.7874421,144.9804091,-37.8025576,144.9766602,1793.0,2018-03-21,09:18:25,445.02000000000004,9:25:50,6.32
ID3880525378,1,3,5,37.8121328,144.978011,-37.8006466,144.9357718,6841.0,2018-07-10,00:37:53,1676.1600000000005,1:05:49,25.47
ID5325118496,2,6,2,37.7874421,144.9804091,-37.8177809,144.9317784,6606.0,2018-01-23,13:13:15,1730.2200000000005,13:42:05,120.99
ID3813884630,1,7,3,-37.8618349,144.905716,-37.8114851,144.9914235,10198.0,2018-05-05,23:28:55,3405.899999999998,0:25:40,35.54
ID1647730195,0,4,3,-37.8025582,144.9930549,-37.8258886,144.9843952,3009.0,2018-02-01,06:29:03,761.8800000000001,6:41:44,5.59
ID1135420293,0,6,3,37.7874325,144.9803767,-37.819034,144.9847274,3933.0,2018-03-09,15:44:30,987.9600000000002,16:00:57,8.39
ID1573831025,0,7,3,37.8618349,144.905716,-37.8243823,144.9903858,9399.0,2018-03-05,19:29:36,3090.3,20:21:06,11.98
ID1822451271,0,9,4,-38.1109156,144.6541725,-37.8051002,145.0150051,48746.0,2018-03-18,13:49:27,11915.7,17:08:02,29.59
ID3733275564,1,9,3,-38.1109156,144.6541725,-37.8249664,144.9761917,44965.0,2018-06-21,21:29:07,10938.239999999996,0:31:25,67.39
ID3479544688,1,7,3,-37.8618349,144.905716,-37.8200266,144.9706807,7801.0,2018-04-23,13:35:17,2702.519999999999,14:20:19,23.57
ID5583604422,2,4,9,37.8021938,145.0156769,-38.1109156,144.6541725,49550.0,2018-07-24,13:17:36,12063.839999999998,16:38:39,718.12
ID3566236024,1,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-02-28,13:58:21,13204.979999999994,17:38:25,73.64
ID3915236113,1,9,8,-38.1109156,144.6541725,-37.807202,145.0266373,49777.0,2018-03-03,05:06:20,12099.660000000003,8:27:59,78.44
ID1609142852,0,3,9,-37.8113222,145.0005072,38.1109156,144.6541725,46908.0,2018-02-05,22:22:54,11231.759999999998,1:30:05,30.49
ID3211167074,1,1,3,-37.8140043,144.9442924,37.818696,144.9829558,4056.0,2018-07-18,07:43:49,976.9800000000004,8:00:05,8.94
ID1243881563,0,6,3,-37.7907967,144.985865,37.8250125,144.9706893,4830.0,2018-06-21,20:41:37,1383.540000000001,21:04:40,8.64
ID1850066043,0,1,9,-37.804982,144.9365972,38.1109156,144.6541725,43369.0,2018-06-11,23:14:43,10396.679999999998,2:07:59,26.8
ID1174914849,0,6,2,-37.7907967,144.985865,-37.8163438,144.9426198,5836.0,2018-03-15,15:00:38,1640.6400000000006,15:27:58,8.05
ID5679021410,2,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-07-23,10:17:45,13173.359999999999,13:57:18,777.08
ID1852946295,0,5,7,-37.8005302,144.934364,-37.8618349,144.905716,13731.0,2018-07-12,21:50:42,4289.700000000001,23:02:11,16.4
ID3911165400,1,5,1,-37.8052942,144.9285558,-37.8018402,144.9608092,3498.0,2018-07-25,17:28:57,974.7599999999999,17:45:11,15.1
ID1203622127,0,3,6,-37.8120939,144.9738315,-37.7907967,144.985865,3072.0,2018-01-02,03:56:40,890.0999999999999,4:11:30,12.7
ID1210367360,0,2,3,-37.8207274,144.9485635,-37.8216064,144.9779458,3054.0,2018-06-10,06:36:46,751.8599999999999,6:49:17,9.71
ID1454409488,0,6,4,-37.773845,144.9836895,-37.8124253,144.9987884,6685.0,2018-01-08,17:01:44,1476.4800000000005,17:26:20,9.08
ID5452258952,2,8,3,-37.8158343,145.04645,37.8178416,145.0077888,4068.0,2018-05-24,23:19:47,1310.8800000000003,23:41:37,105.35
ID1631658589,0,2,4,-37.8257446,144.9400985,-37.7971301,145.0093902,8535.0,2018-06-10,21:07:09,2241.5400000000004,21:44:30,18.05
ID3794094950,1,4,8,-37.8019687,144.9973519,-37.8158343,145.04645,5264.0,2018-01-13,14:31:36,1627.8600000000001,14:58:43,23.2
ID1192157473,0,1,4,-37.8116618,144.9654703,-37.8111429,145.0029111,3491.0,2018-02-09,13:47:15,820.26,14:00:55,7.38
ID3797169097,1,5,3,-37.8067661,144.9322936,-37.8164058,144.9839794,5421.0,2018-03-18,22:15:52,1369.32,22:38:41,26.84
ID1258767433,0,3,6,-37.818749,144.9838262,-37.773845,144.9836895,6142.0,2018-01-03,04:24:50,1311.2400000000002,4:46:35,12.56
ID5982190944,2,3,4,-37.8116738,144.9828402,-37.8113705,145.0087543,2479.0,2018-04-15,20:05:51,596.34,20:15:47,63.46
ID5887907297,2,8,1,-37.8158343,145.04645,-37.821239,144.9614195,8195.0,2018-05-05,07:52:06,2395.4399999999987,8:32:01,160.11
ID1118968441,0,7,1,-37.8618349,144.905716,-37.8145284,144.9659573,8077.0,2018-07-05,20:36:57,2803.759999999999,21:23:32,10.07
ID3199309012,1,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-06-18,00:10:17,12681.060000000005,3:41:38,76.82
ID1129459472,0,5,3,-37.8165285,144.9282096,-37.8178223,145.0034301,8145.0,2018-03-26,20:35:30,1961.2800000000009,21:08:11,9.26
ID1426967599,0,9,4,-38.1109156,144.6541725,-37.8124304,145.0158665,50038.0,2018-05-13,11:47:55,12105.720000000005,15:09:40,28.23
ID3934969904,1,1,3,-37.8071366,144.9565054,-37.823277,144.9700222,2606.0,2018-07-13,06:15:15,627.7200000000001,6:25:54,7.64
ID1897678561,0,1,7,-37.8153134,144.959636,-37.8618349,144.905716,8268.0,2018-03-08,22:32:00,2903.66,23:19:33,13.51
ID1778821646,0,6,4,-37.7874421,144.9804091,-37.7999953,145.0149822,4981.0,2018-06-10,03:33:02,1292.46,3:54:34,16.31
ID1530402414,0,2,5,-37.8128581,144.9357274,-37.805919,144.9392258,2012.0,2018-05-12,22:28:14,448.80000000000007,22:35:42,16.41
ID1822013444,0,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-02-27,06:59:27,4298.280000000001,8:11:05,9.73
ID3783086449,1,6,3,-37.7738026,144.9836466,-37.8154546,144.9774748,8099.0,2018-07-03,08:55:39,2537.519999999999,9:37:56,16.47
ID1262942043,0,7,3,-37.8618349,144.905716,-37.8178879,144.9706971,7989.0,2018-07-04,14:25:28,2749.0199999999986,15:11:17,11.56
ID3406655595,1,1,7,-37.8059473,144.9559905,-37.8618349,144.905716,9278.0,2018-02-08,14:40:44,3091.74,15:32:15,24.87
ID1710491375,0,7,2,-37.8618349,144.905716,-37.8199083,144.9468934,9129.0,2018-07-10,17:49:50,3096.839999999999,18:41:26,11.74
ID1176325045,0,7,5,-37.8618349,144.905716,-37.8088806,144.9252933,11503.0,2018-01-10,05:07:34,3690.119999999998,6:08:16,17.52
ID3444574845,1,5,2,-37.8036999,144.932203,-37.8180144,144.9470579,2379.0,2018-02-12,06:14:21,613.86,6:24:34,8.58
ID1832148510,0,9,2,-38.1109156,144.6541725,-37.811866,144.9368934,42709.0,2018-07-15,13:19:40,10244.839999999997,16:10:13,30.73
ID1796060061,0,8,2,-37.8158343,145.04645,-37.8250564,144.9461365,9725.0,2018-04-07,17:57:38,2827.139999999999,18:44:45,14.47
ID1427578312,0,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-07-06,18:53:35,4342.280000000001,20:05:13,13.27
ID3931578110,1,9,6,-38.1109156,144.6541725,-37.7874325,144.9803767,47033.0,2018-07-11,03:43:16,11423.660000000005,6:52:31,71.34
ID1435572329,0,9,5,-38.1109156,144.6541725,-37.8098909,144.9357328,42832.0,2018-02-02,16:58:23,10260.059999999998,19:49:23,23.96
ID3491544440,1,8,1,-37.8158343,145.04645,-37.8100277,144.9585231,7951.0,2018-05-11,02:48:04,2298.1799999999994,3:26:22,27.76
ID1935765963,0,3,8,-37.8207651,144.966875,-37.807202,145.0266373,6760.0,2018-05-21,07:33:48,1741.7400000000005,8:02:49,5.56
ID1112576021,0,9,4,-38.1109156,144.6541725,-37.8162029,145.0102235,47850.0,2018-01-08,13:54:41,11530.039999999999,17:06:31,28.68
ID3566705853,1,6,2,-37.773845,144.9836895,-37.8136729,144.9410854,6651.0,2018-02-08,07:01:21,1427.6399999999996,7:25:08,11.67
ID3143812519,1,3,7,-37.8208441,144.988386,-37.8618349,144.905716,9469.0,2018-02-15,21:06:51,3092.46,21:58:26,30.56
ID1730235694,0,4,3,-37.8023916,144.9981578,-37.8260405,144.983526,3524.0,2018-07-15,13:27:43,917.4599999999999,13:43:00,11.89
ID5897628902,2,6,4,-37.7738026,144.9836466,-37.8085721,145.0042747,9859.0,2018-03-10,06:06:13,3027.9600000000005,6:56:40,196.17
ID1400249249,0,3,4,-37.8234082,144.9814655,-37.8132144,145.0141962,4251.0,2018-01-07,22:21:13,1080.4800000000007,0:59:53,16.16
ID3535486878,1,2,8,-37.8102905,144.9394264,-37.8158343,145.04645,9811.0,2018-04-26,17:18:03,2760.96,18:04:03,24.7
ID3255263730,1,3,6,-37.823242,144.9881207,-37.7874421,144.9804091,4660.0,2018-06-11,08:29:29,1184.9399999999998,10:47:15,10.91
ID1346372107,0,6,1,-37.7738026,144.9836466,-37.8180537,144.9669245,8409.0,2018-01-27,15:43:39,2682.1800000000007,20:31:46,13.85
ID3260746739,1,7,2,-37.8618349,144.905716,-37.8244487,144.9471944,8827.0,2018-06-08,12:28:50,3106.6799999999994,18:35:33,25.12
ID3961334134,1,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-07-26,11:32:54,4911.599999999998,12:54:45,27.94
ID1892545607,0,1,9,-37.8132486,144.9371562,-38.1109156,144.6541725,42780.0,2018-01-02,17:08:24,10251.42,23:30:39,25.82
ID1844430443,0,2,9,-37.8247958,144.9457034,-38.1109156,144.6541725,42308.0,2018-02-01,20:39:21,10188.179999999998,23:29:09,25.54
ID3803881175,1,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-03-20,06:12:01,12681.060000000005,11:20:16,67.12
ID3961091438,1,2,5,-37.8142638,144.9473164,-37.8062519,144.9338027,1841.0,2018-07-13,07:05:28,482.93999999999994,7:41:56,6.95
ID1862772312,0,2,6,-37.8134207,144.9358374,-37.773845,144.9836895,7319.0,2018-02-13,15:13:26,1619.2800000000002,18:25:33,10.59
ID1851963594,0,9,2,-38.1109156,144.6541725,-37.8198915,144.9469715,41748.0,2018-07-25,15:13:54,10038.539999999999,16:12:13,25.15
ID1584717453,0,9,1,-38.1109156,144.6541725,-37.8018385,144.9633837,44428.0,2018-05-04,14:00:36,10740.240000000003,16:59:36,26.32
ID5511103789,2,7,3,-37.8618349,144.905716,-37.8255236,144.9886093,9296.0,2018-04-10,08:00:30,3061.379999999999,10:01:04,191.69
ID3552149644,1,6,9,-37.7908183,144.9857929,-38.1109156,144.6541725,47186.0,2018-07-13,16:13:50,11418.06,19:24:08,64.89
ID3273069239,1,6,5,-37.7738026,144.9836466,-37.8058115,144.9381702,9828.0,2018-06-12,17:31:24,2989.0800000000004,18:21:13,23.73
ID5459656979,2,1,2,-37.8113308,144.9692934,-37.8214382,144.9456191,2686.0,2018-02-07,18:34:59,655.3799999999998,18:45:54,58.17
ID3585807836,1,3,9,-37.8158223,144.9927827,-38.1109156,144.6541725,46250.0,2018-04-11,16:03:01,11185.74,19:09:26,64.3
ID3909839277,1,7,5,-37.8618349,144.905716,-37.8062874,144.9328554,10997.0,2018-01-10,11:24:03,3516.1199999999994,12:22:39,19.66
ID1696508207,0,7,3,-37.8618349,144.905716,-37.8241947,144.98338,8920.0,2018-05-02,03:27:14,2974.2599999999993,4:16:48,15.39
ID3639278211,1,1,5,-37.8143199,144.9762224,-37.8030387,144.9297269,4805.0,2018-05-20,23:57:38,1237.38,0:18:15,27.21
ID3396612084,1,1,9,-37.8063029,144.9446582,-38.1109156,144.6541725,43079.0,2018-01-18,15:08:52,10335.3,18:01:07,59.98
ID1800992621,2,3,5,-37.813381,144.9738693,-37.8149608,144.9275528,5695.0,2018-03-25,17:13:37,1429.4400000000012,17:37:26,12.17
ID1949122884,2,7,2,-37.8618349,144.905716,-37.8243787,144.9442891,9097.0,2018-04-03,01:48:34,3177.24,2:41:31,15.43
ID3923733778,1,4,6,-37.802871,145.0166333,-37.7874421,144.9804091,5357.0,2018-04-12,19:52:23,1404.0600000000004,20:15:47,17.64
ID5987575285,2,3,6,-37.8142266,144.9729692,-37.7874325,144.9803767,3174.0,2018-03-03,13:02:04,774.0600000000002,13:14:58,71.29
ID5560390667,2,4,9,-37.7985859,145.0066298,-38.1109156,144.6541725,48433.0,2018-02-13,13:25:24,11776.019999999999,16:41:40,704.2
ID1919103393,0,7,4,-37.8618349,144.905716,-37.8150906,145.0060096,11457.0,2018-02-20,10:32:32,3621.72,11:32:53,10.44
ID3420214082,1,5,1,-37.8008942,144.910992,-37.8144836,144.9619659,5248.0,2018-07-07,22:46:43,1283.82,23:08:06,27.26
ID3239935689,1,7,1,-37.8618349,144.905716,-37.8187456,144.9534724,8501.0,2018-04-06,17:21:26,2920.679999999998,18:10:06,24.99
ID1871604029,0,5,1,-37.8106998,144.9283886,-37.8006883,144.9608807,3854.0,2018-05-14,17:12:53,926.3400000000001,17:28:19,7.44
ID1572839082,2,6,9,-37.773845,144.9836895,-38.1109156,144.6541725,48197.0,2018-03-17,03:36:07,11519.399999999998,6:48:06,35.38
ID5940613291,2,7,5,-37.8618349,144.905716,-37.7986898,144.9199786,12313.0,2018-04-12,21:52:34,3884.999999999999,22:57:19,254.09
ID1191921518,0,2,9,-37.8238758,144.9350031,-38.1109156,144.6541725,43373.0,2018-02-19,09:42:01,10479.72,12:36:40,22.86
ID3676249877,1,9,3,-38.1109156,144.6541725,-37.8109126,144.9904296,45987.0,2018-03-21,02:49:58,10992.18,5:53:10,70.51
ID3666572228,2,3,8,-37.8171086,144.9853634,-37.807202,145.0266373,4935.0,2018-06-18,11:33:35,1233.9,11:54:08,8.19
ID1374482462,0,8,5,-37.8158343,145.04645,-37.8037477,144.9307499,10499.0,2018-05-14,06:55:46,2942.339999999998,7:44:48,7.8
ID5669366576,2,4,7,-37.8089249,145.0088358,-37.8618349,144.905716,12067.0,2018-07-23,15:07:30,3824.280000000001,14:03:46,243.44
ID3116746463,1,2,4,-37.8161912,144.9459981,-37.811881,145.0120477,6179.0,2018-04-17,7:46:00,1561.32,07:19:59,11.16
ID3311089295,1,3,4,-37.8128962,144.9733495,-37.803444,145.0109935,4325.0,2018-07-04,11:51:40,1133.76,12:10:33,10.05
ID5754488068,2,1,4,-37.8214421,144.9638368,-37.8046753,144.99815,4371.0,2018-06-13,14:27:46,1142.3400000000008,14:08:44,86.54
ID1447736538,0,5,9,-37.8048323,144.9327615,-38.1109156,144.6541725,43591.0,2018-05-05,12:37:02,10448.279999999999,15:31:10,30.06
ID1459830060,0,3,6,-37.8198836,144.9853014,-37.7874325,144.9803767,4056.0,2018-01-06,00:23:25,1024.02,0:40:29,14.06
ID3581021470,1,6,5,-37.773845,144.9836895,-37.8051653,144.9366579,6851.0,2018-06-02,19:21:18,1509.5999999999997,18:56:09,21.95
ID5600626915,2,9,2,-38.1109156,144.6541725,-37.8168181,144.9318271,43261.0,2018-03-10,04:57:20,10382.519999999999,7:50:22,637.57
ID1699402252,0,2,9,-37.8239393,144.9306538,-38.1109156,144.6541725,43777.0,2018-07-24,10:02:18,10587.0,12:58:45,23.38
ID3435557371,1,5,6,-37.8093814,144.9317534,-37.773845,144.9836895,7490.0,2018-04-22,19:05:00,1630.7400000000002,19:32:10,23.11
ID3720279889,1,6,7,-37.7874325,144.9803767,-37.8618349,144.905716,11633.0,2018-07-07,00:02:37,3663.780000000001,1:03:40,35.76
ID3639418242,1,3,7,-37.8160947,145.0013127,-37.8618349,144.905716,10902.0,2018-02-22,13:48:48,3468.9600000000005,14:46:36,26.41
ID3583712514,1,1,8,-37.8031147,144.9496683,-37.8158343,145.04645,8722.0,2018-04-09,0:45:09,2396.6400000000003,00:05:13,26.28
ID1126197642,0,6,2,-37.7908183,144.9857929,-37.8216313,144.9440358,6157.0,2018-04-26,17:38:29,1463.64,18:02:52,8.0
ID3154994550,1,1,8,-37.8088956,144.9608977,-37.8158343,145.04645,7754.0,2018-01-02,23:50:47,2237.58,0:28:04,25.96
ID5718109723,2,4,3,-37.8019687,144.9973519,-37.8117548,145.0004319,1357.0,2018-05-02,22:14:09,329.52,22:08:40,47.79
ID1267692461,0,7,2,-37.8618349,144.905716,-37.8146066,144.9477357,9319.0,2018-03-18,06:33:47,3135.8999999999983,7:26:02,11.87
ID1300535723,0,1,2,-37.8157201,144.9505242,-37.8238758,144.9350031,3837.0,2018-05-02,08:06:23,999.4200000000001,8:23:02,3.78
ID3941499948,1,4,8,-37.8121831,145.0131617,-37.8158343,145.04645,3575.0,2018-07-12,01:31:06,1176.9,1:50:42,21.02
ID3550393961,1,1,5,-37.8125195,144.9483651,-37.8098999,144.9358427,2386.0,2018-04-23,08:59:58,657.48,9:10:55,6.46
ID3788658925,1,1,5,-37.8200398,144.958327,-37.8054083,144.9346526,2970.0,2018-04-18,17:05:59,762.42,17:18:41,13.36
ID3576806595,1,4,6,-37.8125714,145.0125221,-37.7738026,144.9836466,10726.0,2018-07-07,20:05:32,3167.76,19:12:45,28.41
ID1524154904,0,2,6,-37.8244182,144.948369,-37.773845,144.9836895,7232.0,2018-03-03,21:43:42,1588.7400000000002,21:17:14,14.82
ID3815738318,1,4,9,-37.8169167,145.0087973,-38.1109156,144.6541725,47674.0,2018-01-12,04:08:12,11455.08,7:19:07,71.28
ID1375376428,0,7,4,-37.8618349,144.905716,-37.811916,145.0133659,12209.0,2018-06-16,16:02:54,3872.279999999998,17:07:26,17.44
ID1395595637,0,5,6,-37.8167317,144.9274527,-37.773845,144.9836895,8606.0,2018-07-13,20:22:16,1938.8400000000001,20:54:34,8.71
ID3805206589,1,5,4,-37.8148259,144.9270956,-37.8034291,145.0029696,8501.0,2018-07-19,08:46:59,2190.6,9:23:29,15.89
ID1658243028,0,8,3,-37.8158343,145.04645,-37.8202758,144.9789621,7166.0,2018-04-13,14:45:20,2123.5799999999995,14:09:57,9.35
ID5951160101,2,2,3,-37.8212793,144.9463412,-37.8146852,144.9801922,3274.0,2018-06-02,07:12:38,722.5800000000004,7:24:40,61.18
ID3899407678,1,4,6,-37.7999888,144.9923328,-37.7738026,144.9836466,8304.0,2018-03-04,04:45:30,2627.5200000000004,5:29:17,33.01
